numb;cows;vet;unitCost;capCost;fixedCost;milkPerCow;quota;fatPct;protPct;cellCount;race;type;age
55;215.5;100759;2467571.8;1304039;1259523.753;9149.138747;1903999;4.17;3.31;265;large;conv;
56;153.4;83154;1863867;1065039;773692.2655;9743.216297;1482489;4.36;3.5;312;large;conv;
57;167.5;20683;1462144.8;887382;639129.3111;6222.636119;1166034;4.42;2.44;191;large;orga;36
58;141.1;125903;1898306.3;1041328;678010.7176;10460.83926;1370493;4.05;3.24;146;large;conv;36
59;196.8;122432;2426045.3;1268657;976464.8727;8130.230793;1742560;4.08;3.26;209;large;conv;
60;166;89580;2679583.9;954000;697471.802;9223.609699;1200000;4.52;3.42;217;large;orga;37
61;239.3;85533;2791855.3;1193818;1080164.089;7985.222273;1764659;3.92;3.27;236;large;orga;41
62;244;182149;2533733.5;1439102;828128.496;8340.248689;1754050;4.23;3.35;0;large;conv;41
63;186.4;158259;2097368.8;1376631;980828.6745;10456.26502;1574136;4.07;3.26;225;large;conv;45
64;183.3;125933;1859032.2;1214898;1257764.106;9410.458374;1833013;3.94;3.28;231;large;conv;31
65;262.2;207729;3003542.6;1545967;1083754.441;9544.024943;2445337;3.95;3.32;299;large;conv;41
66;294;216688;3245633.9;1613733;1589810.809;9815.27551;2719000;4;3.29;173;large;conv;42
67;229.5;121550;2088498.3;1339425;823675.6061;7683.593464;1341072;5.84;4.19;191;jersey;conv;42
68;133.2;91872;1526540.2;839298;390774.3287;10628.65818;1250000;4.12;3.25;0;large;conv;49
69;204.6;159676;2543310;1157070;899647.4485;9536.10694;1900000;3.9;3.34;304;large;conv;31
70;250.7;193509;2721517;1464421;1879571.368;8727.38935;2307596;3.9;3.33;286;large;conv;41
71;224.7;133165;1909166;1255919;1025714.257;8060.251313;1504000;5.53;4.06;213;jersey;conv;50
72;197;207398;1767970;1090339;920644.6338;8482.253096;1328877;5.69;3.95;270;jersey;conv;60
73;272;159082;2271749;1306541;1460024.517;8334.259338;1924400;5.83;4.04;203;jersey;conv;
74;172.4;118376;1758618.1;1333396;756275.2065;8220.364559;1108905;6.09;4.02;309;jersey;conv;
75;228;51202;2168979.4;978158;630416.354;9264.670351;1680000;5.58;3.88;221;jersey;conv;
76;303.7;241380;3625094;1584416;1365252.235;10305.74448;3315026;4.43;3.48;178;large;conv;
77;252;110043;3220040;1753918;1955941.197;10914.36452;2244577;4.36;4.36;0;large;conv;
78;190.7;234570;2204516;1633154;954810.0234;9687.188044;1808433;4.36;3.54;181;mixed;conv;38
79;166.3;114929;1648492;1027963;1020970.531;8687.72712;978714;6.3;4.07;141;jersey;conv;38
80;162;155868;2249721;1045049;1141845.051;9638.39284;1489000;3.97;3.26;235;large;conv;37
81;159.5;212083;2356513;1063977;727567.0075;9181.077806;1289000;4.17;3.36;221;large;conv;54
82;153.6;93567;1845965;1385379;1216567.736;9238.823438;1304000;4.3;3.43;173;large;conv;43
83;187.1;179713;2480815;1498742;1166966.449;9097.221379;1554000;4.38;3.38;138;mixed;conv;53
84;215;131083;1972283;948581;1210760.369;8319.496837;1472497;5.62;4;190;jersey;conv;41
85;195.7;252067;1961340.7;1249533;739955.9145;8668.587174;1350000;5.83;3.94;254;jersey;conv;53
86;155.7;143884;1734156;1406537;822609.6285;10063.63102;1434000;4.1;3.31;162;large;conv;
87;176.3;117975;1835459.7;1959105;1472759.43;9380.996256;1521118;4.35;3.44;247;large;conv;46
88;151.5;72911;1632502;1362199;662993.2659;9526.750231;1304001;4.23;3.5;191;mixed;conv;42
89;222.4;180820;2423460.2;1829345;942937.8273;9235.32545;1816907;4.39;3.41;247;large;conv;
90;179.5;137446;2011392.7;1056391;763529.6643;9124.816825;1634270;3.96;3.32;218;large;conv;
91;204.6;106189;2359380.5;2034560;939455.8905;7826.625611;1642085;4.37;3.48;254;large;conv;50
92;174.2;160695;1956137.5;897933;868560.136;8470.467509;1429554;4.24;3.39;225;large;conv;37
93;219;127187;2503497.5;1077323;1620073.544;9067.371872;1800000;4.21;3.32;261;large;conv;43
94;158;98118;1673712.4;1186459;1112980.564;7382.573734;1173042;4.02;3.28;272;large;orga;33
95;145.7;100507;1761037.6;1029853;743166.6862;8596.953672;1170143;4.13;3.36;210;large;conv;42
96;200.3;118745;1890906;1146077;789188.456;8992.600599;1323000;5.8;4.02;248;jersey;conv;51
97;172;97802;2499224;1359321;978587.3623;9308;2274000;0;0;0;large;conv;
98;186.7;257899;2187139.7;1339545;953292.6619;9030.768131;2015569;3.76;3.33;334;mixed;conv;49
99;170.5;101240;1937495.4;1006531;625408.5534;8742.599941;1504001;4.33;3.39;306;large;conv;41
100;162;156295;2166660;831533;875403.4782;9673.077099;1470000;4.2;3.36;217;large;conv;29
101;177;132560;2329077;969431;1056315.182;9918.977401;1500799;4.25;3.34;186;mixed;conv;43
